centername,legalname,building,street,borough,zipcode,phone,permitnumber,permitexp,status,agerange,maximumcapacity,dc_id,programtype,facilitytype,childcaretype,bin,url,datepermitted,actual,violationratepercent,violationavgratepercent,totaleducationalworkers,averagetotaleducationalworkers,publichealthhazardviolationrate,averagepublichealthhazardiolationrate,criticalviolationrate,avgcriticalviolationrate,inspectiondate,regulationsummary,violationstatus,inspectionsummaryresult,violationcategory,healthcodesubsection
DOWNTOWN  LITTLE  SCHOOL,DOWNTOWN LITTLE SCHOOL,15,DUTCH STREET,MANHATTAN,10038,212-791-1300,7167,2023-09-12T00:00:00.000,Permitted,2 YEARS - 5 YEARS,75,DC1124,PRESCHOOL,GDC,Child Care - Pre School,1001197,downtownlittleschool.org,2003-07-29T00:00:00.000,N,14.2857,21.905,9,11.9769,0,6.1285,14.2857,18.9541,2022-12-06T00:00:00.000,There were no new violations observed at the time of this inspection/visit.,N/A,Initial Annual Inspection - Passed inspection with no violations,,
BRIGHT HORIZONS CHILDREN'S CENTER,BRIGHT HORIZONS CHILDREN'S CENTER INC.,888,MAIN STREET,MANHATTAN,10044,212-750-5301,7648,2024-10-03T00:00:00.000,Permitted,2 YEARS - 5 YEARS,32,DC14950,PRESCHOOL,GDC,Child Care - Pre School,1086085,www.brighthorizons.com/octagon,2006-09-28T00:00:00.000,Y,60,21.905,4,11.9769,40,6.1285,40,18.9541,2021-02-08T00:00:00.000,Child care service fails to store dry goods in insect/rodent proof containers at time of inspection.,CORRECTED,Initial Annual Inspection - Reinspection Required,CRITICAL,47.61(e)
STUYVESANT TOWN KIDS INC,STUYVESANT TOWN KIDS INC,315,AVENUE C,MANHATTAN,10009,212-462-2524,105574,2024-01-03T00:00:00.000,Permitted,,56,DC40583,INFANT TODDLER,GDC,Child Care - Infants/Toddlers,1082851,goddardschool.com,2022-01-03T15:05:58.000,Y,0,17.4391,5,8.4034,0,4.9984,0,15.3835,2022-11-15T00:00:00.000,There were no new violations observed at the time of this inspection/visit.,N/A,Initial Annual Inspection - Passed inspection with no violations,,
"GREEN IVY BATTERY PARK, LLC","GREEN IVY BATTERY PARK, LLC",21,SOUTH END AVENUE,MANHATTAN,10280,212-235-2320,56257,2024-01-24T00:00:00.000,Permitted,2 YEARS - 5 YEARS,60,DC25250,PRESCHOOL,GDC,Child Care - Pre School,1075698,www.batteryparkmontessori.com,2014-01-24T00:00:00.000,Y,25,21.905,12,11.9769,0,6.1285,25,18.9541,2022-02-08T00:00:00.000,There were no new violations observed at the time of this inspection/visit.,N/A,Initial Annual Inspection - Passed inspection with no violations,,
SUNSHINE DAYCARE,"SUNSHINE LC OF LEXINGTON, LLC",1595,LEXINGTON  AVENUE,MANHATTAN,10029,212-444-2026,86518,2025-04-28T00:00:00.000,Permitted,2 YEARS - 5 YEARS,72,DC26079,PRESCHOOL,GDC,Child Care - Pre School,1085680,WWW.SUNSHINENEWYORK.COM,2015-04-28T00:00:00.000,Y,0,21.905,20,11.9769,0,6.1285,0,18.9541,2021-04-27T00:00:00.000,There were no new violations observed at the time of this inspection/visit.,N/A,Initial Annual Inspection - Passed inspection with no violations,,
RIVER SCHOOL WESTSIDE,BRIGHT HORIZONS CHILDREN'S CENTERS LLC,75,WEST END AVE,MANHATTAN,10023,212-707-8300,103834,2024-10-13T00:00:00.000,Permitted,0 YEARS - 2 YEARS,40,DC34498,INFANT TODDLER,GDC,Child Care - Infants/Toddlers,1088686,www.brighthorizons.com,2016-10-13T16:51:16.000,Y,16.6667,17.4391,12,8.4034,0,4.9984,16.6667,15.3835,2021-06-08T00:00:00.000,At time of inspection floors/walls ceilings were observed Not maintained; in disrepair or covered in a toxic finish.,CORRECTED,Initial Annual Inspection - Passed inspection; Violations corrected at time of inspection,GENERAL,47.41(j)
BETH JACOB PAROCHIAL SCHOOL OF THE EAST SIDE,BETH JACOB PAROCHIAL SCHOOL OF THE EAST SIDE,142,BROOME STREET,MANHATTAN,10002,212-473-4500,,2115-01-23T00:00:00.000,Active,3 YEARS - 5 YEARS,0,DC12117,PRESCHOOL,SBCC,School Based Child Care,1004079,,,,0,45.1817,1,8.0094,0,23.3017,0,35.2291,2021-12-09T00:00:00.000,There were no new violations observed at the time of this inspection/visit.,N/A,Initial Annual Inspection - Passed inspection with no violations,,
"URBAN CONCEPTS OF NEW YORK ROUND THE CLOCK NURSERY, INC.","URBAN CONCEPTS OF NEW YORK ROUND THE CLOCK NURSERY,INC.",301B,WEST 130 STREET,MANHATTAN,10027,212-694-0615,8250,2023-01-19T00:00:00.000,Expired-In Renewal,0 YEARS - 2 YEARS,10,DC20765,INFANT TODDLER,GDC,Child Care - Infants/Toddlers,1084087,www.roundtheclocknursery.org,2011-01-19T00:00:00.000,Y,20,17.4391,4,8.4034,0,4.9984,20,15.3835,2023-01-05T00:00:00.000,Qualified Group Teacher Not designated to cover for Education Director. Permittee failed to Notify Department of separation from service of Education Director,CORRECTED,Initial Annual Inspection - Reinspection Required; Fines pending,CRITICAL,47.13(c)(1)
"CENTRAL PARK MONTESSORI, INC.","CENTRAL PARK MONTESSORI, INC.",1,WEST 91ST STREET,MANHATTAN,10024,212-595-2000,8252,2023-01-28T00:00:00.000,Expired-In Renewal,,126,DC21252,PRESCHOOL,GDC,Child Care - Pre School,1031625,www.twinparks.org,2011-01-28T00:00:00.000,Y,0,21.905,17,11.9769,0,6.1285,0,18.9541,2023-02-08T00:00:00.000,There were no new violations observed at the time of this inspection/visit.,N/A,Initial Annual Inspection - Passed inspection with no violations,,
SUTTON PLACE SYNAGOGUE,Jewish Center for the United Nations,225,EAST 51 STREET,MANHATTAN,10022,212-826-6204,7512,2024-11-03T00:00:00.000,Permitted,2 YEARS - 5 YEARS,65,DC1184,PRESCHOOL,GDC,Child Care - Pre School,1038467,www.spsnyc.org,2004-08-30T00:00:00.000,Y,0,21.905,11,11.9769,0,6.1285,0,18.9541,2022-09-20T00:00:00.000,There were no new violations observed at the time of this inspection/visit.,N/A,Monitoring Inspection Non-Routine - Passed inspection with no violations,,
TRIBECA COMMUNITY SCHOOL,TRIBECA VISION INC.,22,ERICSSON PLACE,MANHATTAN,10013,212-226-9070,104328,2024-01-26T00:00:00.000,Permitted,,100,DC36335,PRESCHOOL,GDC,Child Care - Pre School,1002167,,2018-01-26T16:40:59.000,Y,0,21.905,9,11.9769,0,6.1285,0,18.9541,2020-10-01T00:00:00.000,There were no new violations observed at the time of this inspection/visit.,N/A,Initial Annual Inspection - Passed inspection with no violations,,
BRIGHT HORIZONS CHILDREN'S CENTERS,"BRIGHT HORIZONS CHILDREN'S CENTERS, INC.",100,WEST 89TH STREET,MANHATTAN,10024,646-930-0380,74818,2024-10-31T00:00:00.000,Permitted,0 YEARS - 2 YEARS,27,DC32487,INFANT TODDLER,GDC,Child Care - Infants/Toddlers,1032320,WWW.BRIGHTHORIZONS.COM/WEST89T,2014-10-31T00:00:00.000,Y,0,17.4391,7,8.4034,0,4.9984,0,15.3835,2023-01-30T00:00:00.000,There were no new violations observed at the time of this inspection/visit.,N/A,Initial Annual Inspection - Passed inspection with no violations,,
"PETITS POUSSINS TOO, INC","PETITS POUSSINS TOO, INC.",2235,FREDERICK DOUGLAS BLVD.,MANHATTAN,10027,212-663-7777,103848,2022-11-01T00:00:00.000,Expired-In Renewal,,30,DC33803,INFANT TODDLER,GDC,Child Care - Infants/Toddlers,1086186,www.PetitsPoussinsToo.com,2016-11-01T16:47:41.000,Y,0,17.4391,7,8.4034,0,4.9984,0,15.3835,2021-06-17T00:00:00.000,There were no new violations observed at the time of this inspection/visit.,N/A,Initial Annual Inspection - Passed inspection with no violations,,
VIVVI 3 LLC,Vivvi 3 LLC,55,Hudson Yards,MANHATTAN,10001,212-561-8914,105297,2025-02-23T00:00:00.000,Permitted,2 YEARS - 5 YEARS,40,DC39280,PRESCHOOL,GDC,Child Care - Pre School,1089412,,2021-02-23T13:01:42.000,Y,0,21.905,12,11.9769,0,6.1285,0,18.9541,2022-01-12T00:00:00.000,Refrigeration units provided with thermometers; thermometers calibrated to (+)(-) 2 degree F accuracy; properly placed in warmest spot of unit,CORRECTED,Initial Annual Inspection - Passed inspection; Violations corrected at time of inspection,GENERAL,81.18(a)(3)
UNIVERSITY PLAZA NURSERY SCHOOL,UNIVERSITY PLAZA NURSERY SCHOOL,110,BLEECKER STREET,MANHATTAN,10012,212-677-3916,6016,2025-04-11T00:00:00.000,Permitted,2 YEARS - 5 YEARS,69,DC2988,PRESCHOOL,GDC,Child Care - Pre School,1083218,www.universityplazanursery.org,2005-03-07T00:00:00.000,N,0,21.905,6,11.9769,0,6.1285,0,18.9541,2022-03-09T00:00:00.000,There were no new violations observed at the time of this inspection/visit.,N/A,Initial Annual Inspection - Passed inspection with no violations,,
U.N. INTERNATIONAL PRESCHOOL,UNITED NATIONS INTERNATIONAL SCHOOL,2450,FDR Drive,MANHATTAN,10010,212-584-3061,,2117-01-22T00:00:00.000,Active,3 YEARS - 5 YEARS,0,DC32858,PRESCHOOL,SBCC,School Based Child Care,1022557,,,,33.3333,45.1817,2,8.0094,0,23.3017,33.3333,35.2291,2022-12-01T00:00:00.000,School-based child care staff observed caring for children while unhealthy. Staff medical certificate of fitness Not provided.,CORRECTED,Initial Annual Inspection - Reinspection Required,GENERAL,43.11(b)
"WASHINGTON HEIGHTS CHILD CARE CENTER, INC.","WASHINGTON HEIGHTS CHILD CARE CENTER, INC.",610-14,WEST 175 STREET,MANHATTAN,10033,212-781-6910,6193,2023-06-28T00:00:00.000,Permitted,2 YEARS - 5 YEARS,55,DC1499,PRESCHOOL,GDC,Child Care - Pre School,1063533,,2003-05-30T00:00:00.000,N,0,21.905,13,11.9769,0,6.1285,0,18.9541,2021-09-30T00:00:00.000,There were no new violations observed at the time of this inspection/visit.,N/A,Initial Annual Inspection - Passed inspection with no violations,,
PLAY:GROUNDNYC INC,play:groundNYC,10,SOUTH STREET,MANHATTAN,10004,347-422-6595,104046,2023-09-15T00:00:00.000,Permitted,0 YEARS - 16 YEARS,50,DC35500,ALL AGE CAMP,Camp,Camp,1000003,play-ground.nyc,2017-06-08T17:06:30.000,Y,66.6667,26.8868,0,1,0,14.2558,66.6667,21.8553,2022-06-30T00:00:00.000,Camp maintains staff application and qualification documents on file. Employee credentials verified,CORRECTED,Initial Annual Inspection - Reinspection Not Required,GENERAL,48.09(m)(1)
THE GODDARD SCHOOL,2495 BROADWAY CENTER LLC,2495,BROADWAY,MANHATTAN,10025,212-712-2727,49237,2023-07-31T00:00:00.000,Permitted,0 YEARS - 2 YEARS,20,DC25014,INFANT TODDLER,GDC,Child Care - Infants/Toddlers,1087656,www.goddardschool.com,2013-07-31T00:00:00.000,Y,0,17.4391,9,8.4034,0,4.9984,0,15.3835,2021-11-30T00:00:00.000,There were no new violations observed at the time of this inspection/visit.,N/A,Monitoring Inspection Non-Routine - Passed inspection with no violations,,
MANHATTAN DAY SCHOOL,MANHATTAN DAY SCHOOL,310,WEST 75TH STREET,MANHATTAN,10023,212-376-6800,,2115-01-23T00:00:00.000,Active,3 YEARS - 5 YEARS,0,DC24990,PRESCHOOL,SBCC,School Based Child Care,1031012,,,,0,45.1817,8,8.0094,0,23.3017,0,35.2291,2022-10-25T00:00:00.000,Walls and ceilings doors windows and interior components of food storage food preparation and utensil-washing areas are smooth and Non-absorbent constructed of hard light colored material easily cleanable and in good repair,CORRECTED,Initial Annual Inspection - Reinspection Not Required,GENERAL,81.17(e)(2)
NEW YORK KIDS CLUB,"PNW Enterprises, LLC dba NY Kids Club",11,5TH AVE,MANHATTAN,10003,646-846-0884,105361,2022-09-15T00:00:00.000,Expired-In Renewal,0 YEARS - 16 YEARS,70,DC40327,ALL AGE CAMP,Camp,Camp,1009222,,2021-06-01T20:06:57.000,Y,50,26.8868,0,1,0,14.2558,50,21.8553,2022-06-23T00:00:00.000,Camp equipment Not maintained; Not of safe design or properly installed,CORRECTED,Initial Annual Inspection - Reinspection Not Required,CRITICAL,48.15(c)
BANK STREET COLLEGE FAMILY CENTER,BANK STREET COLLEGE FAMILY CENTER,610,WEST 112 STREET,MANHATTAN,10025,212-875-4412,5728,2022-10-31T00:00:00.000,Expired-In Renewal,2 YEARS - 5 YEARS,50,DC2207,PRESCHOOL,GDC,Child Care - Pre School,1057331,www.bankstreet.edu,2004-10-07T00:00:00.000,N,33.3333,21.905,4,11.9769,0,6.1285,33.3333,18.9541,2020-09-01T00:00:00.000,There were no new violations observed at the time of this inspection/visit.,N/A,,,
"URBAN CONCEPTS OF NEW YORK ROUND-THE-CLOCK NURSERY, INC","URBAN CONCEPTS OF NEW YORK ROUND-THE-CLOCK NURSERY, INC.",3333,Broadway,MANHATTAN,10031,212-234-1870,7495,2023-10-31T00:00:00.000,Permitted,2 YEARS - 5 YEARS,55,DC14314,PRESCHOOL,GDC,Child Care - Pre School,1000000,,2005-10-26T00:00:00.000,Y,0,21.905,11,11.9769,0,6.1285,0,18.9541,2021-12-10T00:00:00.000,At time of inspection child care service failed to provide soap and/or paper towels or sanitary dryers accessible to children at hand wash sinks.,CORRECTED,,CRITICAL,47.43(g)
BANK STREET COLLEGE FAMILY CENTER,BANK STREET COLLEGE FAMILY CENTER,610,WEST 112 STREET,MANHATTAN,10025,212-875-4412,5728,2022-10-31T00:00:00.000,Expired-In Renewal,2 YEARS - 5 YEARS,50,DC2207,PRESCHOOL,GDC,Child Care - Pre School,1057331,www.bankstreet.edu,2004-10-07T00:00:00.000,N,33.3333,21.905,4,11.9769,0,6.1285,33.3333,18.9541,2021-11-30T00:00:00.000,There were no new violations observed at the time of this inspection/visit.,N/A,Monitoring Inspection Non-Routine - Passed inspection with no violations,,
"EAST HARLEM COUNCIL FOR HUMAN SERVICES, INC.","EAST HARLEM COUNCIL FOR HUMAN SERVICES,INC.",440,EAST 116 STREET,MANHATTAN,10029,212-427-9010,4529,2024-10-26T00:00:00.000,Permitted,2 YEARS - 5 YEARS,160,DC1242,PRESCHOOL,GDC,Child Care - Pre School,1081443,,2004-10-26T00:00:00.000,N,16.6667,21.905,14,11.9769,0,6.1285,16.6667,18.9541,2022-12-29T00:00:00.000,There were no new violations observed at the time of this inspection/visit.,N/A,Initial Annual Inspection - Passed inspection with no violations,,
THE CLARK SCHOOL FOR THE DEAF,CLARKE SCHOOL FOR THE DEAF,80,EAST END AVENUE,MANHATTAN,10028,212-585-3500,6813,2023-01-08T00:00:00.000,Expired-In Renewal,2 YEARS - 5 YEARS,59,DC2937,PRESCHOOL,GDC,Child Care - Pre School,1051198,,2004-11-04T00:00:00.000,N,0,21.905,10,11.9769,0,6.1285,0,18.9541,2023-03-29T00:00:00.000,At time of inspection child care service failed to provide sufficient lighting and or failed to maintain adequate foot candles in areas used by children.,OPEN,Initial Annual Inspection - Reinspection Not Required,GENERAL,47.45(b)
BRIGHT HORIZON'S AT EAST 92ND STREET,BRIGHT HORIZONS CHILDREN'S CENTERS LLC,245,E 92ND ST,MANHATTAN,10128,212-369-9626,103991,2023-04-10T00:00:00.000,Expired-In Renewal,0 YEARS - 2 YEARS,18,DC34841,INFANT TODDLER,GDC,Child Care - Infants/Toddlers,1089874,www.brighthorizons.com,2017-04-10T10:44:12.000,Y,0,17.4391,7,8.4034,0,4.9984,0,15.3835,2023-04-18T00:00:00.000,There were no new violations observed at the time of this inspection/visit.,N/A,Initial Annual Inspection - Passed inspection with no violations,,
"NEW YORK CENTER FOR INFANTS AND TODDLERS, INC.","NEW YORK CENTER FOR INFANTS AND TODDLERS, INC.",1787,MADISON AVENUE,MANHATTAN,10035,212-289-6100,8176,2024-06-14T00:00:00.000,Permitted,2 YEARS - 5 YEARS,26,DC18495,PRESCHOOL,GDC,Child Care - Pre School,1086215,www.nycit.org,2010-06-14T00:00:00.000,Y,20,21.905,18,11.9769,0,6.1285,20,18.9541,2022-03-09T00:00:00.000,There were no new violations observed at the time of this inspection/visit.,N/A,Initial Annual Inspection - Passed inspection with no violations,,
"THE RECTOR, WARDENS AND VESTRY OF CHRIST AND ST. STEPHEN'S EPISCOPAL CHURCH","THE RECTOR, WARDENS AND VESTRY OF CHRIST AND ST. STEPHEN'S EPISCOPAL CHURCH",122,WEST 69TH STREET,MANHATTAN,10023,212-787-2755,10258,2023-12-23T00:00:00.000,Permitted,2 YEARS - 5 YEARS,58,DC21175,PRESCHOOL,GDC,Child Care - Pre School,1028947,www.csschurch.org,2011-12-23T00:00:00.000,Y,0,21.905,12,11.9769,0,6.1285,0,18.9541,2021-12-15T00:00:00.000,There were no new violations observed at the time of this inspection/visit.,N/A,,,
HEAVEN'S TINY TOTS INC.,HEAVEN'S TINY TOTS INC.,2185,7  Avenue,MANHATTAN,10027,646-476-9533,104381,2022-04-16T00:00:00.000,Expired-In Renewal,2 YEARS - 5 YEARS,48,DC35452,PRESCHOOL,GDC,Child Care - Pre School,1087836,,2018-04-16T16:29:43.000,Y,20,21.905,11,11.9769,0,6.1285,20,18.9541,2023-03-22T00:00:00.000,There were no new violations observed at the time of this inspection/visit.,N/A,Initial Annual Inspection - Passed inspection with no violations,,
MSKCC CHILDREN'S CENTER,BRIGHT HORIZONS CHILDREN'S CENTERS LLC,475,MAIN STREET,MANHATTAN,10044,212-224-0129,7636,2023-09-26T00:00:00.000,Permitted,0 YEARS - 2 YEARS,18,DC12267,INFANT TODDLER,GDC,Child Care - Infants/Toddlers,1086204,www.brighthorizons.com,2006-08-31T00:00:00.000,Y,0,17.4391,11,8.4034,0,4.9984,0,15.3835,2021-04-01T00:00:00.000,There were no new violations observed at the time of this inspection/visit.,N/A,Initial Annual Inspection - Passed inspection with no violations,,
NORTHERN MANHATTAN PERINATAL PARTNERSHIP INC.,NORTHERN MANHATTAN PERINATAL PARTNERSHIP INC.,529-531,WEST 155TH STREET,MANHATTAN,10032,212-926-8264,7909,2022-09-09T00:00:00.000,Expired-In Renewal,2 YEARS - 5 YEARS,95,DC18862,PRESCHOOL,GDC,Child Care - Pre School,1084190,NMPPCARES.org,2008-09-09T00:00:00.000,Y,0,21.905,16,11.9769,0,6.1285,0,18.9541,2022-09-08T00:00:00.000,There were no new violations observed at the time of this inspection/visit.,N/A,Monitoring Inspection Non-Routine - Passed inspection with no violations,,
ESCUELA HISPANA  MONTESSORI,ESCUELA HISPANA MONTESSORI,180,SUFFOLK STREET,MANHATTAN,10002,646-437-7340,8173,2024-05-25T00:00:00.000,Permitted,2 YEARS - 5 YEARS,187,DC20894,PRESCHOOL,GDC,Child Care - Pre School,1004240,escuelahispanaelc.com,2010-05-25T00:00:00.000,Y,33.3333,21.905,25,11.9769,0,6.1285,33.3333,18.9541,2023-03-03T00:00:00.000,At time of inspection it was determined that child care service failed to conduct and document monthly fire drills.,CORRECTED,Initial Annual Inspection - Reinspection Required; Fines pending,CRITICAL,47.59(d)
MESIVTHA TIFERETH JERUSALEM PRE-SCHOOL,MESIVTHA TIFERETH JERUSALEM PRE-SCHOOL,145,EAST BROADWAY,MANHATTAN,10002,212-964-2830,,2115-01-23T00:00:00.000,Active,3 YEARS - 5 YEARS,0,DC12149,PRESCHOOL,SBCC,School Based Child Care,1003571,,,,0,45.1817,1,8.0094,0,23.3017,0,35.2291,2022-03-30T00:00:00.000,There were no new violations observed at the time of this inspection/visit.,N/A,Initial Annual Inspection - Passed inspection with no violations,,
PERRY KIDS INC.,PERRY KIDS INC.,55,BETHUNE STREET,MANHATTAN,10014,212-255-1685,73361,2022-09-15T00:00:00.000,Expired-In Renewal,2 YEARS - 5 YEARS,29,DC32157,PRESCHOOL,GDC,Child Care - Pre School,1012047,,2014-09-15T00:00:00.000,Y,75,21.905,5,11.9769,25,6.1285,75,18.9541,2022-12-08T00:00:00.000,Fingerprint screening Not arranged for current and prospective personnel; Results Not satisfactory or CAP was Not approved,CORRECTED,Initial Annual Inspection - Reinspection Required; Program closed,PUBLIC HEALTH HAZARD,47.19(c)(1)
PERRY KIDS INC.,PERRY KIDS INC.,55,BETHUNE STREET,MANHATTAN,10014,212-255-1685,73361,2022-09-15T00:00:00.000,Expired-In Renewal,2 YEARS - 5 YEARS,29,DC32157,PRESCHOOL,GDC,Child Care - Pre School,1012047,,2014-09-15T00:00:00.000,Y,75,21.905,5,11.9769,25,6.1285,75,18.9541,2022-12-08T00:00:00.000,Fingerprint screening Not arranged for current and prospective personnel; Results Not satisfactory or CAP was Not approved,CORRECTED,Initial Annual Inspection - Reinspection Required; Program closed,PUBLIC HEALTH HAZARD,47.19(c)(1)
PERRY KIDS INC.,PERRY KIDS INC.,55,BETHUNE STREET,MANHATTAN,10014,212-255-1685,73361,2022-09-15T00:00:00.000,Expired-In Renewal,2 YEARS - 5 YEARS,29,DC32157,PRESCHOOL,GDC,Child Care - Pre School,1012047,,2014-09-15T00:00:00.000,Y,75,21.905,5,11.9769,25,6.1285,75,18.9541,2022-12-08T00:00:00.000,Fingerprint screening Not arranged for current and prospective personnel; Results Not satisfactory or CAP was Not approved,CORRECTED,Initial Annual Inspection - Reinspection Required; Program closed,PUBLIC HEALTH HAZARD,47.19(c)(1)
PERRY KIDS INC.,PERRY KIDS INC.,55,BETHUNE STREET,MANHATTAN,10014,212-255-1685,73361,2022-09-15T00:00:00.000,Expired-In Renewal,2 YEARS - 5 YEARS,29,DC32157,PRESCHOOL,GDC,Child Care - Pre School,1012047,,2014-09-15T00:00:00.000,Y,75,21.905,5,11.9769,25,6.1285,75,18.9541,2022-12-08T00:00:00.000,Fingerprint screening Not arranged for current and prospective personnel; Results Not satisfactory or CAP was Not approved,CORRECTED,Initial Annual Inspection - Reinspection Required; Program closed,PUBLIC HEALTH HAZARD,47.19(c)(1)
NEW YORK KIDS CLUB,"PNW Enterprises, LLC",38,E 22ND ST,MANHATTAN,10010,917-363-8153,103748,2022-09-15T00:00:00.000,Expired-In Renewal,0 YEARS - 16 YEARS,67,DC34298,ALL AGE CAMP,Camp,Camp,1068310,nykidsclub.com/camps,2016-08-01T16:00:37.000,Y,33.3333,26.8868,0,1,33.3333,14.2558,33.3333,21.8553,2022-06-21T00:00:00.000,Facility egress observed obstructed; Not protected from hazardous areas,CORRECTED,Initial Annual Inspection - Reinspection Required; Fines pending,PUBLIC HEALTH HAZARD,48.15(b)(6)
AVENUES NEW YORK,"AVENUES NEW YORK, LLC.",536,WEST   26 STREET,MANHATTAN,10001,646-664-0925,,1900-01-01T00:00:00.000,Active,3 YEARS - 5 YEARS,0,DC35665,PRESCHOOL,SBCC,School Based Child Care,1089424,,,,100,45.1817,1,8.0094,0,23.3017,100,35.2291,2022-10-19T00:00:00.000,Children enrolled in school-based child care program have Not received appropriate medical examination.,CORRECTED,Initial Annual Inspection - Reinspection Required,CRITICAL,43.17(a)(1)
BRIGHT HORIZONS AT WEST VILLAGE,BRIGHT HORIZONS CHILDREN'S CENTERS LLC,644,GREENWICH STREET,MANHATTAN,10014,646-348-9012,104716,2023-01-23T00:00:00.000,Expired-In Renewal,2 YEARS - 5 YEARS,67,DC37494,PRESCHOOL,GDC,Child Care - Pre School,1010405,BRIGHTHORIZONHS.COM/WESTVILLAGE,2019-01-23T11:14:50.000,Y,0,21.905,9,11.9769,0,6.1285,0,18.9541,2023-04-18T00:00:00.000,There were no new violations observed at the time of this inspection/visit.,N/A,Initial Annual Inspection - Passed inspection with no violations,,
THE NIGHTINGALE BAMFORD SCHOOL,THE NIGHTINGALE BAMFORD SCHOOL,20,EAST 92 STREET,MANHATTAN,10128,212-289-5020,,2117-08-29T00:00:00.000,Active,2 YEARS - 5 YEARS,44,DC2431,PRESCHOOL,SBCC,School Based Child Care,1083912,,,,0,45.1817,7,8.0094,0,23.3017,0,35.2291,2021-11-17T00:00:00.000,There were no new violations observed at the time of this inspection/visit.,N/A,Initial Annual Inspection - Passed inspection with no violations,,
LA MATERNELLE LLC,LA MATERNELLE LLC,80,Riverside  Boulevard,MANHATTAN,10069,212-957-1234,105238,2022-09-10T00:00:00.000,Expired-In Renewal,0 YEARS - 2 YEARS,35,DC39119,INFANT TODDLER,GDC,Child Care - Infants/Toddlers,1087720,www.lamaternellenyc.com,2020-09-10T09:45:40.000,Y,66.6667,17.4391,9,8.4034,16.6667,4.9984,66.6667,15.3835,2022-02-01T00:00:00.000,Infant Toddler Teacher qualification documents Not submitted to approved agent for review; documents Not available upon request,CORRECTED,Initial Annual Inspection - Reinspection Required; Fines pending,GENERAL,47.15
"NORTHSIDE CENTER FOR CHILD DEVELOPMENT, INC.","NORTHSIDE CENTER FOR CHILD DEVELOPMENT,INC.",302-306,EAST 111TH STREET,MANHATTAN,10029,646-351-1300,7576,2023-04-04T00:00:00.000,Expired-In Renewal,0 YEARS - 2 YEARS,16,DC14910,INFANT TODDLER,GDC,Child Care - Infants/Toddlers,1081364,www.northsidecenter.org,2006-04-04T00:00:00.000,Y,0,17.4391,12,8.4034,0,4.9984,0,15.3835,2021-04-22T00:00:00.000,There were no new violations observed at the time of this inspection/visit.,N/A,Initial Annual Inspection - Passed inspection with no violations,,
THE GODDARD SCHOOL,2495 BROADWAY CENTER LLC,2495,BROADWAY,MANHATTAN,10025,212-712-2727,10257,2023-11-10T00:00:00.000,Permitted,2 YEARS - 5 YEARS,132,DC21595,PRESCHOOL,GDC,Child Care - Pre School,1087656,,2011-11-10T00:00:00.000,Y,25,21.905,15,11.9769,0,6.1285,25,18.9541,2021-11-30T00:00:00.000,There were no new violations observed at the time of this inspection/visit.,N/A,Monitoring Inspection Non-Routine - Passed inspection with no violations,,
NEW YORK KIDS CLUB,"PNW Enterprises, LLC",38,E 22ND ST,MANHATTAN,10010,917-363-8153,103748,2022-09-15T00:00:00.000,Expired-In Renewal,0 YEARS - 16 YEARS,67,DC34298,ALL AGE CAMP,Camp,Camp,1068310,nykidsclub.com/camps,2016-08-01T16:00:37.000,Y,33.3333,26.8868,0,1,33.3333,14.2558,33.3333,21.8553,2021-06-21T00:00:00.000,There were no new violations observed at the time of this inspection/visit.,N/A,Initial Annual Inspection - Passed inspection with no violations,,
PS OF THE ARTS,Chabad of Gramercy Park,207-211,Thompson  Street,MANHATTAN,10012,212-201-9212,104710,2025-01-11T00:00:00.000,Permitted,2 YEARS - 5 YEARS,55,DC37037,PRESCHOOL,GDC,Child Care - Pre School,1008680,,2019-01-11T10:11:24.000,Y,16.6667,21.905,6,11.9769,16.6667,6.1285,16.6667,18.9541,2023-01-12T00:00:00.000,At time of inspection hallways and other means of egress were observed obstructed and impassable.,CORRECTED,Initial Annual Inspection - Reinspection Required; Fines pending,PUBLIC HEALTH HAZARD,47.41(f)
THE ROMAN CATHOLIC CHURCH OF THE GOOD SHEPHERD NEW YORK CITY,THE ROMAN CATHOLIC CHURCH OF THE GOOD SHEPARD NEW YORK CITY,620,ISHAM STREET,MANHATTAN,10034,212-567-5800,,2116-10-25T00:00:00.000,Active,3 YEARS - 5 YEARS,0,DC1408,PRESCHOOL,SBCC,School Based Child Care,1082056,www.archny.org/education,,,0,45.1817,9,8.0094,0,23.3017,0,35.2291,2022-11-10T00:00:00.000,There were no new violations observed at the time of this inspection/visit.,N/A,Initial Annual Inspection - Passed inspection with no violations,,
DWIGHT SUMMER DAY CAMP,"LEGACY GLOBAL GROUP, LLC",18,WEST 89TH STREET,MANHATTAN,10024,212-724-6360,46017,2022-09-15T00:00:00.000,Expired-In Renewal,0 YEARS - 16 YEARS,133,DC25376,ALL AGE CAMP,Camp,Camp,1031515,www.dwightsummercamp.org,2013-07-01T00:00:00.000,N,50,26.8868,0,1,50,14.2558,50,21.8553,2022-06-29T00:00:00.000,Camp equipment Not maintained; Not of safe design or properly installed,CORRECTED,Initial Annual Inspection - Reinspection Required; Violations corrected at time of inspection,CRITICAL,48.15(c)
